vessel_class,bunker_capacity_m3,capacity_source,capacity_note
C001,2087.006,verifiserte 2025-tall fra dataleverandør,Ikke avklart om tallet er total eller operativ kapasitet.
C002,2061.43,verifiserte 2025-tall fra dataleverandør,Ikke avklart om tallet er total eller operativ kapasitet.
C003,1533.719,verifiserte 2025-tall fra dataleverandør,Ikke avklart om tallet er total eller operativ kapasitet.
C004,1907.08,verifiserte 2025-tall fra dataleverandør,Ikke avklart om tallet er total eller operativ kapasitet.
C005,1024.531,verifiserte 2025-tall fra dataleverandør,Ikke avklart om tallet er total eller operativ kapasitet.
