vessel_file_id,vessel_class,leg_count,priced_leg_count,purchased_leg_count,total_consumption,model_purchase_qty,model_external_qty,priced_share_of_consumption,external_share_of_consumption,priced_cost,external_cost,total_model_cost
C001-1,C001,63,3,3,6354.45,316.2,5329.45,0.0498,0.8387,182460.67,4065648.86,4248109.53
C001-2,C001,57,16,11,7173.35,6961.16,138.19,0.9704,0.0193,3861460.03,105418.74,3966878.77
C002-1,C002,53,12,6,7256.64,5754.57,956.27,0.793,0.1318,3126513.11,729504.55,3856017.66
C003-1,C003,44,3,2,4537.68,1896.12,2051.64,0.4179,0.4521,1094140.25,1565124.34,2659264.59
C004-1,C004,55,3,3,5809.9,1945.63,3017.75,0.3349,0.5194,1052282.24,2302134.71,3354416.95
C004-2,C004,55,5,3,5743.17,1983.77,2870.67,0.3454,0.4998,1089834.4,2189932.58,3279766.98
C004-3,C004,68,0,0,6074.55,0.0,4974.15,0.0,0.8189,0.0,3794603.06,3794603.06
C005-1,C005,91,0,0,2395.3,0.0,1922.5,0.0,0.8026,0.0,1466607.24,1466607.24
